model,accuracy,precision,recall,f1,auc,aupr
SNF_AdaBoost_cosine_sim_hope,0.783,0.983,0.578,0.72,0.783,0.886
SNF_AdaBoost_cosine_sim_lap,0.861,0.975,0.744,0.839,0.861,0.924
SNF_AdaBoost_cosine_sim_lle,0.85,0.975,0.722,0.822,0.85,0.918
SNF_AdaBoost_Pearson_corr_sim_hope,0.772,0.986,0.556,0.704,0.772,0.882
SNF_AdaBoost_Pearson_corr_sim_lap,0.906,1.0,0.811,0.892,0.906,0.953
SNF_AdaBoost_Pearson_corr_sim_lle,0.861,0.95,0.767,0.841,0.861,0.916
SNF_hope_cosine_sim_XGBoost,0.739,1.0,0.478,0.638,0.907,0.923
SNF_lap_cosine_sim_XGBoost,0.839,0.975,0.7,0.809,0.949,0.959
SNF_lle_cosine_sim_XGBoost,0.867,0.975,0.756,0.847,0.904,0.912
SNF_hope_Pearson_corr_sim_XGBoost,0.733,1.0,0.467,0.628,0.904,0.92
SNF_lap_Pearson_corr_sim_XGBoost,0.861,1.0,0.722,0.834,0.96,0.972
SNF_lle_Pearson_corr_sim_XGBoost,0.844,0.975,0.711,0.81,0.953,0.951
SNF_ANN_cosine_sim_hope,0.633,0.645,0.667,0.651,0.744,0.825
SNF_ANN_cosine_sim_lap,0.494,0.497,0.989,0.662,0.944,0.962
SNF_ANN_cosine_sim_lle,0.5,0.5,1.0,0.667,0.949,0.969
SNF_ANN_Pearson_corr_sim_hope,0.883,1.0,0.767,0.861,0.946,0.962
SNF_ANN_Pearson_corr_sim_lap,0.933,1.0,0.867,0.925,0.944,0.967
SNF_ANN_Pearson_corr_sim_lle,0.922,1.0,0.844,0.913,0.946,0.967
AVG_AdaBoost_cosine_sim_hope,0.817,0.99,0.644,0.761,0.817,0.906
AVG_AdaBoost_cosine_sim_lap,0.839,0.986,0.689,0.805,0.839,0.915
AVG_AdaBoost_cosine_sim_lle,0.878,1.0,0.756,0.856,0.878,0.939
AVG_AdaBoost_Pearson_corr_sim_hope,0.806,0.98,0.633,0.746,0.806,0.898
AVG_AdaBoost_Pearson_corr_sim_lap,0.867,0.965,0.767,0.839,0.867,0.924
AVG_AdaBoost_Pearson_corr_sim_lle,0.889,1.0,0.778,0.868,0.889,0.944
AVG_XGBoost_cosine_sim_hope,0.744,1.0,0.489,0.648,0.915,0.933
AVG_XGBoost_cosine_sim_lap,0.839,0.971,0.7,0.807,0.946,0.961
AVG_XGBoost_cosine_sim_lle,0.872,1.0,0.744,0.85,0.965,0.97
AVG_XGBoost_Pearson_corr_sim_hope,0.744,1.0,0.489,0.648,0.937,0.944
AVG_XGBoost_Pearson_corr_sim_lap,0.828,0.975,0.678,0.79,0.961,0.965
AVG_XGBoost_Pearson_corr_sim_lle,0.839,1.0,0.678,0.8,0.978,0.981
AVG_ANN_cosine_sim_hope,0.606,0.597,0.889,0.697,0.891,0.928
AVG_ANN_cosine_sim_lap,0.5,0.5,1.0,0.667,0.934,0.961
AVG_ANN_cosine_sim_lle,0.5,0.5,1.0,0.667,0.965,0.979
AVG_ANN_Pearson_corr_sim_hope,0.9,0.989,0.811,0.887,0.965,0.973
AVG_ANN_Pearson_corr_sim_lap,0.922,1.0,0.844,0.911,0.94,0.963
AVG_ANN_Pearson_corr_sim_lle,0.922,1.0,0.844,0.911,0.938,0.959
MAX_AdaBoost_cosine_sim_hope,0.806,1.0,0.611,0.749,0.806,0.903
MAX_AdaBoost_cosine_sim_lap,0.794,1.0,0.589,0.734,0.794,0.897
MAX_AdaBoost_cosine_sim_lle,0.778,0.983,0.567,0.715,0.778,0.883
MAX_AdaBoost_Pearson_corr_sim_hope,0.761,0.986,0.533,0.684,0.761,0.876
MAX_AdaBoost_Pearson_corr_sim_lap,0.794,0.983,0.6,0.738,0.794,0.892
MAX_AdaBoost_Pearson_corr_sim_lle,0.767,0.966,0.556,0.701,0.767,0.872
MAX_XGBoost_cosine_sim_hope,0.744,1.0,0.489,0.648,0.9,0.923
MAX_XGBoost_cosine_sim_lap,0.789,1.0,0.578,0.724,0.901,0.925
MAX_XGBoost_cosine_sim_lle,0.756,1.0,0.511,0.672,0.917,0.934
MAX_XGBoost_Pearson_corr_sim_hope,0.739,1.0,0.478,0.638,0.932,0.943
MAX_XGBoost_Pearson_corr_sim_lap,0.767,1.0,0.533,0.688,0.92,0.935
MAX_XGBoost_Pearson_corr_sim_lle,0.75,1.0,0.5,0.664,0.924,0.936
MAX_ANN_cosine_sim_hope,0.606,0.59,0.989,0.727,0.954,0.97
MAX_ANN_cosine_sim_lap,0.5,0.5,1.0,0.667,0.931,0.95
MAX_ANN_cosine_sim_lle,0.5,0.5,1.0,0.667,0.948,0.966
MAX_ANN_Pearson_corr_sim_hope,0.939,1.0,0.878,0.932,0.975,0.983
MAX_ANN_Pearson_corr_sim_lap,0.894,0.986,0.8,0.88,0.973,0.98
MAX_ANN_Pearson_corr_sim_lle,0.9,1.0,0.8,0.885,0.968,0.976
